Sentiment,reviews,Sentiment_predict,Publish
1,"After recent week stay at the Affinia Hotels, I can definitely say i will be coming back. They offer so many in room amenities and services, Just a very comfortable and relaxed place to be. My most enjoyable experience at the Affinia Hotel was the amazing customization they offered, I would recommend Affinia hotels to anyone looking for a nice place to stay .",1,1
1,"Although much too overpriced in my opinion, the hotel is spotless. The staff was very courteous. And the spa service ? Was a God send ! In a relatively flexible location for traveling for sight seeing so I didnt spend major bucks trying to get around the city ! LOVE IT ! Going back for my anniversary",1,1
1,"The Affinia hotel in Chicago was superb. the room service was exemplary and the food, I don't even know were to start. The chef obviously knew what he was doing, I especially loved the seafood, my personal favorite was the shrimp. Aside from this, I loved how beautiful the hotel was. It is definetly a bargain for the price, for that price you would probably get a good 3 star hotel but, I felt as if i was in a $10,000 a night 5 star hotel in the Europe. great bang for your buck. Would recommend it to anybody looking to relax at a great hotel with great amenities in a great city. My friends actually went their a while back because of me. They loved it! I know you will too.",1,1
1,"THIS HOTEL IS FANTASTIC. I stayed there on my way through Chicago towards Arizona, and could not believe the great quality of the hotel. I'd have thought I was in a Vegas suite. Really polite staff, great housekeeping, and amazing prices. On my way out, I was telling the manager about how much I'd loved the hotel, and he even offered me an extra night there! You can safely say that my trip was delayed roughly 24 hours.",1,1
1,"The Affinia Chicago is a wonderful place to stay, my husband and I stayed there for a week to visit some family and had an amazing time. The rooms were very well organized and comfortable, the staff there are very friendly, and the food there is more then amazing. we are defiantly going back next year.",1,1
1,"The magnificent mile in Chicago is a great place to visit, and staying at the Affinia Chicago just made it that much better! The location is awesome - all of the great shopping spots were just moments away, and getting to Navy Pier was a cinch! And the accommodations themselves were wonderful! The hotel lets you completely customize your stay, all the way down to choosing your own pillow! Very impressed overall!",1,1
1,"My stay at the Affinia last weekend was ideal and I can't wait to return. I was in town for a brief personal trip and wanted to have a clean, lovely room near the shopping downtown. Affinia fit the bill. The location was perfect, just one block from the magnificent mile. The decor was modern and sleek, and my room was impeccably clean. They even have a pillow menu! The price was pretty reasonable, too. I'll definitely be back.",1,1
1,"We recently completed our first visit to Chicago and were pleasantly surprised by the Affinia Chicago hotel where we stayed. The hotel has gone to great lengths to offer extra services to their guests, including individual pillow choices, complimentary kits with items designed to enhance the city visit,and fine dining in two on-site restaurants, one of them roof-top with amazing city views. I would recommend this hotel to anyone visiting Chicago.",1,1
1,"We stayed for two nights for a meeting. It is an upscale chain hotel and was very clean. The service was very good, as the hotel front desk employees were kind and knowledgeable. The rooms are decent sized and have soft mattresses. The restaurant has good seafood, but was a bit expensive. We would come back again. ",1,1
1,"I just came back from this awesome, terrific hotel last week, and I have to say-- I loved it! My wife and I were there for a week due to a business meeting, and right when I stepped into the hotel, I knew that this business vacation will be well spent. The customer service was very great, and an employee even guided us toward our room! We were introduced to a fantastically lit room with 2 beds, a flat screen TV, and even free internet access. My wife loved it, and kept on using the free shampoo and body bath soap. When I headed down to the lobby for my conference, I got lost, and asked one of the people who worked there where my meeting might be held. He leaded me to the door, and I was very impressed. There is a fitness center which I went everyday, and this great restaurant called C-House situated nicely next to the hotel lobby, where I had a nice steak and my wife a salad. All in all, I thought that the trip was really worth it, and my stay was very welcoming at the Affinia Chicago. I highly recommend that whenever you visit Chicago you should stay there, you will not regret it. ",1,1
1,"I first walk into the beautifully decorated lobby of the Affinia Chicago hotel where I'm greeted by name by the concierge. He tells me that they have taken the liberty of customizing the room to my profile from when I booked the stay. He shows me to my room (paying careful attention to my bags, and ensuring that I needn't lift a finger) sure enough, the down pillow I had selcted from the dream pillow menu sits proudly atop the queen of the domain, which by the way is covered with the softest of bedspreads making me wonder if they didn't literally drag a cloud in here and fit it on my bed. I notice that there's a display of champagne and cupcakes (!) atop the dresser and my ""experience kit"" which comes complete with an ipod shuffle downloaded with only my favorite workout tracks, and a yoga mat. namaste. Unable to resist the urge to inspect the bathroom, I find that not only is there a marble tiled invisible glass shower, but a jacuzzi, lined with candles of vanilla, deep enough to bathe a walrus. Feeling girlish, I run the water and test before going to dinner. The Hotel's restraunt C-house offers the most delicious seafood menu that makes you think you're dining with the kings of paradise. or at least eating in the Caribbean itself. hmm, I should have brought a date.",1,1
1,The Affinia Manhattan is fantastic! My husband and I stayed there when we went to visit my sister. I loved the room. It was one of the best hotel beds we have ever slept in. The view was incredible. Manhattan is one of the most beautiful places I have ever been. The staff was very helpful as well. They had no problem going out of their way to be helpful. I would suggest this hotel to anybody!,1,1
1,"We just got back from a trip to Chicago for my 30th birthday and we could not have been more impressed by this hotel! Service was excellent, especially the maid service. Our room was so clean and fresh towels brought in daily. The front desk staff was some of the most professional and friendly staff I have ever dealt with while travling. The location is excellent as it is within walking distance of the best restaurants and stores. I highly recommend Affinia for a the perfect family vacation.",1,1
1,"I was in town to visit my cousin an stayed for three nights at this wonderful hotel. Its so close to the shopping i wanted to do with my cousin , granted i had a personal guide a.k.a. my cousin Janice. The amenities were unbelieveable an the service was great with the upmost hospitality. Would recomend to everyone great for kids an adults. The room and view were spectacular, the beds were very comfy and the room was emaculate.",1,1
1,"We had the pleasure of enjoying a stay at the Affinia Chicago Hotel. We found it conveniently located on E. Superior Street, near many local attractions. The rooms were modern chic with a very urban feel. The pillow menu was awesome, my partner and I have such different preferences, the choices made it easier to sleep like we were at home. The hotel room layout was comfortable and spacious with all the right touches to make our stay perfect! I couldn't believe the amenities available to guests. My Beagle, Betsy enjoyed her stay at the ""Jet Set Pet"" care center. She was pampered as much as I was. It was such a comfort knowing we could bring her along and that we could enjoy our stay without the stress and concern that comes along with traveling and pet ownership! Another feature I personally enjoyed was the Walking Tour Kit. It included an iPod Shuffle pre-loaded with a workout playlist, a deck of cards; guidebook that included walking tours, and comfort items like a towel and map! I felt like I was the most important guest (surely, everyone felt that way as they checked in to their rooms). Highly recommend to anyone who has the opportunity to travel in the area of an Affinia Hotel!!",1,1
1,"My husband and I arrived for a 3 night stay for our 10th wedding anniversary. We had booked an Executive Guest room, upon arrival we were informed that they would be upgrading us to a beautiful Junior Suite. This was just a wonderful unexpected plus to our beautifully planned weekend. The front desk manager was professional and made us feel warmly welcomed. The Chicago Affinia was just a gorgeous hotel, friendly staff, lovely food and great atmosphere. Not the mention the feather pillows and bedding that was just fantastic. Also we were allowed to bring out beloved Shi-Tzu and he experienced the Jet Set Pets stay. The grooming was perfect, the daycare service we felt completely comfortable with. This was a beautiful weekend, thank you Affinia Hotels! We would visit this hotel again! ",1,1
1,"The Affinia Hotel is beautiful! It's in a great location, the service is top-notch, and the rooms are very comfortable and spacious. The look of the hotel is very modern, but it feels warm and cozy, too. The restaurant is amazing! I thoroughly enjoyed my stay and would definitely go back! If you're planning a trip to Chicago, check this place out!",1,1
1,"There were many positives when staying in this hotel at the north end of the Magnificant Mile. The rooms were spacious and beautifully appointed with great attention to detail. The quality of service was excellent, the staff professional, and the location was perfect. There are great views of Chicago from many of the rooms. The staff seemed to care about the quality of my stay from the moment I was greeted upon arrival to the moment I got in my taxi to leave. There is a nice rooftop bar/restaurant perfect for a lite meal or a refreshing cocktail with great views of the city. There really weren't any negatives and I would recommend this boutique hotel to anyone staying in the Chicago area.",1,1
1,"Friendly staff, clean building and rooms. The hotel was located nearby everything we were interested in seeing. Staff was willing to help give directions and very knowledgable of city. Rooms were beautifully designed and well lit, spacious and comfortable. ",1,1
